user_id,history_movie_id,history_rating,movie_id,rating,timestamp
A352ZU5005RXAK,"['B000NPQOMA', 'B000HAZCRO', 'B000GXSLIY', 'B000P8HHBM', '0435126083', '0395051029', 'B000OVPZSC', '0451519582', 'B0006BV6RY', 'B000FFQ85G']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",B000P4Q3JS,0,1108771200
A352ZU5005RXAK,"['B000HAZCRO', 'B000GXSLIY', 'B000P8HHBM', '0435126083', '0395051029', 'B000OVPZSC', '0451519582', 'B0006BV6RY', 'B000FFQ85G', 'B000P4Q3JS']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0745123945,1,1108857600
A352ZU5005RXAK,"['B000GXSLIY', 'B000P8HHBM', '0435126083', '0395051029', 'B000OVPZSC', '0451519582', 'B0006BV6RY', 'B000FFQ85G', 'B000P4Q3JS', '0745123945']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1592248624,1,1144972800
A352ZU5005RXAK,"['B000P8HHBM', '0435126083', '0395051029', 'B000OVPZSC', '0451519582', 'B0006BV6RY', 'B000FFQ85G', 'B000P4Q3JS', '0745123945', '1592248624']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",B0009K7J1O,0,1175558400
A352ZU5005RXAK,"['0435126083', '0395051029', 'B000OVPZSC', '0451519582', 'B0006BV6RY', 'B000FFQ85G', 'B000P4Q3JS', '0745123945', '1592248624', 'B0009K7J1O']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",B0007HUT02,1,1248652800
A352ZU5005RXAK,"['0395051029', 'B000OVPZSC', '0451519582', 'B0006BV6RY', 'B000FFQ85G', 'B000P4Q3JS', '0745123945', '1592248624', 'B0009K7J1O', 'B0007HUT02']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",B000CRSF4O,1,1248652800
A352ZU5005RXAK,"['B000OVPZSC', '0451519582', 'B0006BV6RY', 'B000FFQ85G', 'B000P4Q3JS', '0745123945', '1592248624', 'B0009K7J1O', 'B0007HUT02', 'B000CRSF4O']","[0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",B000HS97EU,1,1248652800
A352ZU5005RXAK,"['0451519582', 'B0006BV6RY', 'B000FFQ85G', 'B000P4Q3JS', '0745123945', '1592248624', 'B0009K7J1O', 'B0007HUT02', 'B000CRSF4O', 'B000HS97EU']","[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",B000MOM96M,1,1248652800
AA7DSULMWBHOW,"['061321417X', '0451125819', '0156005832', 'B0007HUT02', 'B000MOM96M', 'B000I3X27M', '0963381857', '0963381865', '0814405703', 'B000NPEWHE']","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1]",B000N76ZCC,1,1029196800
AA7DSULMWBHOW,"['0451125819', '0156005832', 'B0007HUT02', 'B000MOM96M', 'B000I3X27M', '0963381857', '0963381865', '0814405703', 'B000NPEWHE', 'B000N76ZCC']","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",B000E39CZW,0,1039046400
AA7DSULMWBHOW,"['0156005832', 'B0007HUT02', 'B000MOM96M', 'B000I3X27M', '0963381857', '0963381865', '0814405703', 'B000NPEWHE', 'B000N76ZCC', 'B000E39CZW']","[1, 1, 1, 0, 1, 0, 1, 1, 1, 0]",0445407921,1,1051574400
AA7DSULMWBHOW,"['B0007HUT02', 'B000MOM96M', 'B000I3X27M', '0963381857', '0963381865', '0814405703', 'B000NPEWHE', 'B000N76ZCC', 'B000E39CZW', '0445407921']","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1]",B000DEMKG0,1,941068800
AA7DSULMWBHOW,"['B000MOM96M', 'B000I3X27M', '0963381857', '0963381865', '0814405703', 'B000NPEWHE', 'B000N76ZCC', 'B000E39CZW', '0445407921', 'B000DEMKG0']","[1, 0, 1, 0, 1, 1, 1, 0, 1, 1]",B000P0W8KK,0,941155200
AA7DSULMWBHOW,"['B000I3X27M', '0963381857', '0963381865', '0814405703', 'B000NPEWHE', 'B000N76ZCC', 'B000E39CZW', '0445407921', 'B000DEMKG0', 'B000P0W8KK']","[0, 1, 0, 1, 1, 1, 0, 1, 1, 0]",B000GXSLIY,0,941155200
A1TFNBZUP5RTY7,"['B000MYUN6K', 'B000GRGIYE', 'B0007DV5KY', '0553148842', 'B000IZZADY', '0808565842', '0786266023', 'B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY']","[0, 0, 1, 1, 1, 0, 0, 0, 1, 1]",0553255061,0,1149638400
A1TFNBZUP5RTY7,"['B000GRGIYE', 'B0007DV5KY', '0553148842', 'B000IZZADY', '0808565842', '0786266023', 'B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY', '0553255061']","[0, 1, 1, 1, 0, 0, 0, 1, 1, 0]",B000GRMDY8,0,1149638400
A1TFNBZUP5RTY7,"['B0007DV5KY', '0553148842', 'B000IZZADY', '0808565842', '0786266023', 'B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY', '0553255061', 'B000GRMDY8']","[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]",B000JDP2X8,1,1149724800
A1TFNBZUP5RTY7,"['0553148842', 'B000IZZADY', '0808565842', '0786266023', 'B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY', '0553255061', 'B000GRMDY8', 'B000JDP2X8']","[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",1559501987,0,1169596800
A1TFNBZUP5RTY7,"['B000IZZADY', '0808565842', '0786266023', 'B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY', '0553255061', 'B000GRMDY8', 'B000JDP2X8', '1559501987']","[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0312347804,0,1173312000
A1TFNBZUP5RTY7,"['0808565842', '0786266023', 'B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY', '0553255061', 'B000GRMDY8', 'B000JDP2X8', '1559501987', '0312347804']","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0965669416,0,1217462400
A1TFNBZUP5RTY7,"['0786266023', 'B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY', '0553255061', 'B000GRMDY8', 'B000JDP2X8', '1559501987', '0312347804', '0965669416']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]",B000FQ4IM0,0,1248134400
A1TFNBZUP5RTY7,"['B000EYKHBE', 'B000P0W8KK', 'B000GXSLIY', '0553255061', 'B000GRMDY8', 'B000JDP2X8', '1559501987', '0312347804', '0965669416', 'B000FQ4IM0']","[0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",042504307X,0,1271894400
A39CV1TL679NWY,"['1560545615', 'B00005J6VF', 'B000K0DB8I', 'B00017JJ5E', 'B00017JJ5O', 'B00017JJ5Y', 'B00017JJ68', '0440220505', '0821761447', '0821755641']","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0]",B00005VOPZ,1,981158400
A39CV1TL679NWY,"['B00005J6VF', 'B000K0DB8I', 'B00017JJ5E', 'B00017JJ5O', 'B00017JJ5Y', 'B00017JJ68', '0440220505', '0821761447', '0821755641', 'B00005VOPZ']","[0, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0440220688,0,984960000
A39CV1TL679NWY,"['B000K0DB8I', 'B00017JJ5E', 'B00017JJ5O', 'B00017JJ5Y', 'B00017JJ68', '0440220505', '0821761447', '0821755641', 'B00005VOPZ', '0440220688']","[1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",B000GRBMCW,1,985392000
A39CV1TL679NWY,"['B00017JJ5E', 'B00017JJ5O', 'B00017JJ5Y', 'B00017JJ68', '0440220505', '0821761447', '0821755641', 'B00005VOPZ', '0440220688', 'B000GRBMCW']","[1, 1, 1, 1, 1, 0, 0, 1, 0, 1]",0440224721,0,986428800
A39CV1TL679NWY,"['B00017JJ5O', 'B00017JJ5Y', 'B00017JJ68', '0440220505', '0821761447', '0821755641', 'B00005VOPZ', '0440220688', 'B000GRBMCW', '0440224721']","[1, 1, 1, 1, 0, 0, 1, 0, 1, 0]",044022473X,1,987120000
A1GUQ6OC330LLC,"['B000OY50HK', '1879181037', 'B00005W8UO', 'B00085SPA4', 'B00087GJ4G', 'B00087LK8Q', 'B00086FO1Q', 'B0001FZGO4', '1578151880', '0944344585']","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0]",B000H01YYY,1,1117065600
A1GUQ6OC330LLC,"['1879181037', 'B00005W8UO', 'B00085SPA4', 'B00087GJ4G', 'B00087LK8Q', 'B00086FO1Q', 'B0001FZGO4', '1578151880', '0944344585', 'B000H01YYY']","[0, 1, 1, 1, 1, 1, 0, 1, 0, 1]",0684848910,0,1118880000
A1GUQ6OC330LLC,"['B00005W8UO', 'B00085SPA4', 'B00087GJ4G', 'B00087LK8Q', 'B00086FO1Q', 'B0001FZGO4', '1578151880', '0944344585', 'B000H01YYY', '0684848910']","[1, 1, 1, 1, 1, 0, 1, 0, 1, 0]",0142800732,1,1119571200
A1GUQ6OC330LLC,"['B00085SPA4', 'B00087GJ4G', 'B00087LK8Q', 'B00086FO1Q', 'B0001FZGO4', '1578151880', '0944344585', 'B000H01YYY', '0684848910', '0142800732']","[1, 1, 1, 1, 0, 1, 0, 1, 0, 1]",0786266163,1,1119571200
